            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2452094.500000000, A.D. 2001-Jul-04 00:00:00.0000,  1.819688279283712E+01, -2.398181924091608E+01,  7.449520001574947E-02,  2.480628319273471E-03,  1.915948826249214E-03, -9.650766702586888E-05,  1.738670605648673E-01,  3.010414833565384E+01, -2.708679868330561E-05,
2452104.500000000, A.D. 2001-Jul-14 00:00:00.0000,  1.822167557820461E+01, -2.396265102066511E+01,  7.352852201626256E-02,  2.477890882712571E-03,  1.918251518691378E-03, -9.627071874070814E-05,  1.738655031328945E-01,  3.010387867466700E+01, -2.731032043512522E-05,
2452114.500000000, A.D. 2001-Jul-24 00:00:00.0000,  1.824644920043907E+01, -2.394345577284896E+01,  7.256227979425257E-02,  2.476179042782061E-03,  1.920368518051431E-03, -9.692939920385764E-05,  1.738639430539508E-01,  3.010360855537134E+01, -2.676811920817868E-05,
2452124.500000000, A.D. 2001-Aug-03 00:00:00.0000,  1.827120189893789E+01, -2.392423465316842E+01,  7.159660380440556E-02,  2.474795474593380E-03,  1.923557756011084E-03, -9.679363081057824E-05,  1.738623794878614E-01,  3.010333783229515E+01, -2.687706753985674E-05,
2452134.500000000, A.D. 2001-Aug-13 00:00:00.0000,  1.829593478821754E+01, -2.390498846423889E+01,  7.062994776077738E-02,  2.472181380666919E-03,  1.926285114955375E-03, -9.623710207294884E-05,  1.738608199946790E-01,  3.010306781442091E+01, -2.736436542235876E-05,
2452144.500000000, A.D. 2001-Aug-23 00:00:00.0000,  1.832064888997521E+01, -2.388571562176154E+01,  6.966310982447325E-02,  2.469967915862054E-03,  1.928212058444576E-03, -9.672616994325052E-05,  1.738592609123172E-01,  3.010279786767807E+01, -2.697583725656342E-05,
2452154.500000000, A.D. 2001-Sep-02 00:00:00.0000,  1.834534240668639E+01, -2.386641632474056E+01,  6.869716104253412E-02,  2.468737468453912E-03,  1.931076234329728E-03, -9.700911798851747E-05,  1.738576968678067E-01,  3.010252706176582E+01, -2.673195647901320E-05,
2452164.500000000, A.D. 2001-Sep-12 00:00:00.0000,  1.837001532217981E+01, -2.384709209096302E+01,  6.773066455495881E-02,  2.466510754734008E-03,  1.934175440278450E-03, -9.636918257896396E-05,  1.738561347305938E-01,  3.010225658609190E+01, -2.727857408444930E-05,
2452174.500000000, A.D. 2001-Sep-22 00:00:00.0000,  1.839466937229649E+01, -2.382774186478011E+01,  6.676341237381196E-02,  2.463891425730955E-03,  1.936192056554845E-03, -9.648775310745747E-05,  1.738545757833414E-01,  3.010198666274253E+01, -2.720944100785620E-05,
2452184.500000000, A.D. 2001-Oct-02 00:00:00.0000,  1.841930346233632E+01, -2.380836481346237E+01,  6.579696870504517E-02,  2.462497535590920E-03,  1.938617352014024E-03, -9.707511110257256E-05,  1.738530123954269E-01,  3.010171597051634E+01, -2.671631796634961E-05,
2452194.500000000, A.D. 2001-Oct-12 00:00:00.0000,  1.844391644116955E+01, -2.378896254434844E+01,  6.483060764281418E-02,  2.460756189871541E-03,  1.941875145974877E-03, -9.662340052718336E-05,  1.738514478362558E-01,  3.010144507549338E+01, -2.709098241096232E-05,
2452204.500000000, A.D. 2001-Oct-22 00:00:00.0000,  1.846851002174753E+01, -2.376953498004585E+01,  6.386320236826674E-02,  2.457991075969204E-03,  1.944219371663630E-03, -9.632534082803771E-05,  1.738498877914654E-01,  3.010117496211118E+01, -2.737132984043764E-05,
2452214.500000000, A.D. 2001-Nov-01 00:00:00.0000,  1.849308425814571E+01, -2.375008061223094E+01,  6.289615636608910E-02,  2.456179723534372E-03,  1.946272036611129E-03, -9.697459150387782E-05,  1.738483256054414E-01,  3.010090447798587E+01, -2.683901116780758E-05,
2452224.500000000, A.D. 2001-Nov-11 00:00:00.0000,  1.851763733435656E+01, -2.373060047477951E+01,  6.192975882101871E-02,  2.454813233407860E-03,  1.949406860439031E-03, -9.690278299693102E-05,  1.738467595630481E-01,  3.010063332615094E+01, -2.688499425439004E-05,
2452234.500000000, A.D. 2001-Nov-21 00:00:00.0000,  1.854217021319887E+01, -2.371109550967770E+01,  6.096243576767349E-02,  2.452218546882834E-03,  1.952178904626176E-03, -9.631497527568181E-05,  1.738451973464463E-01,  3.010036283673126E+01, -2.739895074593168E-05,
2452244.500000000, A.D. 2001-Dec-01 00:00:00.0000,  1.856668406317733E+01, -2.369156417166938E+01,  5.999484322226878E-02,  2.449906683166395E-03,  1.954080478172587E-03, -9.675670118837717E-05,  1.738436360956289E-01,  3.010009251453199E+01, -2.705588287944369E-05,
2452254.500000000, A.D. 2001-Dec-11 00:00:00.0000,  1.859117715109748E+01, -2.367200649765360E+01,  5.902816505352777E-02,  2.448645543472793E-03,  1.956861530876518E-03, -9.709712653989779E-05,  1.738420698370304E-01,  3.009982132526226E+01, -2.675654620929393E-05,
2452264.500000000, A.D. 2001-Dec-21 00:00:00.0000,  1.861564927605258E+01, -2.365242406420411E+01,  5.806103899504811E-02,  2.446464623169450E-03,  1.959981642832007E-03, -9.646783334472394E-05,  1.738405049961469E-01,  3.009955038146231E+01, -2.728913207503948E-05,
2452274.500000000, A.D. 2001-Dec-31 00:00:00.0000,  1.864010222083077E+01, -2.363281594334106E+01,  5.709309952903149E-02,  2.443777033855746E-03,  1.962014615511492E-03, -9.651998366845507E-05,  1.738389437214326E-01,  3.009928005512539E+01, -2.728261918785395E-05,
2452284.500000000, A.D. 2002-Jan-10 00:00:00.0000,  1.866453504794700E+01, -2.361318116782180E+01,  5.612593056784543E-02,  2.442306125455388E-03,  1.964355526864215E-03, -9.713340121147787E-05,  1.738373783103512E-01,  3.009900901259871E+01, -2.676587656670098E-05,
2452294.500000000, A.D. 2002-Jan-20 00:00:00.0000,  1.868894646572318E+01, -2.359352129871672E+01,  5.515895191469065E-02,  2.440606841559977E-03,  1.967594354288322E-03, -9.672911396214246E-05,  1.738358112097722E-01,  3.009873767754460E+01, -2.709230482108600E-05,
2452304.500000000, A.D. 2002-Jan-30 00:00:00.0000,  1.871333811463139E+01, -2.357383642172847E+01,  5.419092976448377E-02,  2.437821779323612E-03,  1.969981857964007E-03, -9.637312441968790E-05,  1.738342486682247E-01,  3.009846713186232E+01, -2.742562932927305E-05,
2452314.500000000, A.D. 2002-Feb-09 00:00:00.0000,  1.873771023320884E+01, -2.355412497789273E+01,  5.322318595208481E-02,  2.435909232001207E-03,  1.971975673332139E-03, -9.700618650647911E-05,  1.738326845172136E-01,  3.009819630751007E+01, -2.691068559125889E-05,
2452324.500000000, A.D. 2002-Feb-19 00:00:00.0000,  1.876206096789327E+01, -2.353438786910195E+01,  5.225616557627692E-02,  2.434552944035678E-03,  1.975050405133665E-03, -9.699886573577458E-05,  1.738311161881040E-01,  3.009792475974245E+01, -2.689355911183820E-05,
2452334.500000000, A.D. 2002-Mar-01 00:00:00.0000,  1.878639112003994E+01, -2.351462616782010E+01,  5.128828299243586E-02,  2.431983875652179E-03,  1.977864700535101E-03, -9.638600819444157E-05,  1.738295513847451E-01,  3.009765382243968E+01, -2.742712889558410E-05,
2452344.500000000, A.D. 2002-Mar-11 00:00:00.0000,  1.881070199293575E+01, -2.349483838330863E+01,  5.032004532552060E-02,  2.429577325883291E-03,  1.979747797883235E-03, -9.677594277968960E-05,  1.738279880874941E-01,  3.009738314591139E+01, -2.713422860922220E-05,
2452354.500000000, A.D. 2002-Mar-21 00:00:00.0000,  1.883499193462994E+01, -2.347502438999426E+01,  4.935273732742168E-02,  2.428277868844989E-03,  1.982443377555736E-03, -9.717034251337230E-05,  1.738264197996383E-01,  3.009711160528668E+01, -2.678357305942386E-05,
2452364.500000000, A.D. 2002-Mar-31 00:00:00.0000,  1.885926056138012E+01, -2.345518580797468E+01,  4.838508522453173E-02,  2.426144817794237E-03,  1.985578113592009E-03, -9.655852545921696E-05,  1.738248524182384E-01,  3.009684022160992E+01, -2.729450329534844E-05,
2452374.500000000, A.D. 2002-Apr-10 00:00:00.0000,  1.888350968487936E+01, -2.343532184638518E+01,  4.741656961011616E-02,  2.423396430140148E-03,  1.987632628713102E-03, -9.654394726059994E-05,  1.738232889302132E-01,  3.009656951205012E+01, -2.735056531545083E-05,
2452384.500000000, A.D. 2002-Apr-20 00:00:00.0000,  1.890773853375751E+01, -2.341543141304764E+01,  4.644877803943257E-02,  2.421842858136590E-03,  1.989890881258216E-03, -9.717717140539490E-05,  1.738217216617594E-01,  3.009629814792939E+01, -2.681710803614880E-05,
2452394.500000000, A.D. 2002-Apr-30 00:00:00.0000,  1.893194568855379E+01, -2.339551600757102E+01,  4.548128198645696E-02,  2.420182489227523E-03,  1.993102952536090E-03, -9.682481303541252E-05,  1.738201522046657E-01,  3.009602640485739E+01, -2.709036382437999E-05,
2452404.500000000, A.D. 2002-May-10 00:00:00.0000,  1.895613270077548E+01, -2.337557587823536E+01,  4.451275314862806E-02,  2.417385515808512E-03,  1.995535252248342E-03, -9.641467327105470E-05,  1.738185872891287E-01,  3.009575544813158E+01, -2.747220497595056E-05,
2452414.500000000, A.D. 2002-May-20 00:00:00.0000,  1.898029999054733E+01, -2.335560943095477E+01,  4.354441826141298E-02,  2.415370214781042E-03,  1.997475572584932E-03, -9.702487160348907E-05,  1.738170213148813E-01,  3.009548430809573E+01, -2.698188670656862E-05,
2452424.500000000, A.D. 2002-May-30 00:00:00.0000,  1.900444568500485E+01, -2.333561742690952E+01,  4.257687386752658E-02,  2.414017211481052E-03,  2.000484299742280E-03, -9.708225467718530E-05,  1.738154508930274E-01,  3.009521239798070E+01, -2.690164658990106E-05,
